/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_39_509.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_39_509.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_39_509.jpg, 0, 0, 0, 7.81622E-05
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_39_610.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_39_610.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_39_610.jpg, 0, 0, 0, 7.856531E-05
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_39_713.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_39_713.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_39_713.jpg, 0, 0, 0, 7.808479E-05
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_39_819.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_39_819.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_39_819.jpg, 0, 0, 0, 7.949412E-05
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_40_001.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_40_001.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_40_001.jpg, 0, 0.2514421, 0, 0.2755486
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_40_136.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_40_136.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_40_136.jpg, 0, 0.57801, 0, 0.8316097
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_40_225.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_40_225.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_40_225.jpg, 0, 0.9236852, 0, 1.903426
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_40_327.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_40_327.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_40_327.jpg, 0, 1, 0, 3.263794
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_40_450.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_40_450.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_40_450.jpg, 0, 1, 0, 4.668452
/Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/center_2020_12_31_18_07_40_553.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/left_2020_12_31_18_07_40_553.jpg, /Users/vigneshnarayan/Study - Developer Works/ML - Self Driving/Behavioural Cloning/Track data/IMG/right_2020_12_31_18_07_40_553.jpg, -0.177411, 1, 0, 5.822252
